"src_subject_id","start_time","end_time","browser","index","first_half_probabilities","second_half_probabilities","deck_color","deck_position","deck_probabilities","deck_contingencies","response_color","key_press","response_position","response_probability","reward_type","trial_type","rt","reward_tally","exclusion_reason"
"ASTR3EPUOKEXV","Sun Sep 20 2020 10:59:16 GMT-0400 (Eastern Daylight Time)","Sun Sep 20 2020 12:23:20 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",1,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",51,"right","medium",TRUE,FALSE,844,100,NA
"ASTR3EPUOKEXV","Sun Sep 20 2020 10:59:16 GMT-0400 (Eastern Daylight Time)","Sun Sep 20 2020 12:23:20 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",2,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",51,"right","medium",FALSE,FALSE,298,50,NA
"ASTR3EPUOKEXV","Sun Sep 20 2020 10:59:16 GMT-0400 (Eastern Daylight Time)","Sun Sep 20 2020 12:23:20 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",3,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","black",50,"middle","low",FALSE,FALSE,677,0,NA
"ASTR3EPUOKEXV","Sun Sep 20 2020 10:59:16 GMT-0400 (Eastern Daylight Time)","Sun Sep 20 2020 12:23:20 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",4,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",51,"right","medium",TRUE,FALSE,274,100,NA
"ASTR3EPUOKEXV","Sun Sep 20 2020 10:59:16 GMT-0400 (Eastern Daylight Time)","Sun Sep 20 2020 12:23:20 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",5,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",51,"right","medium",FALSE,FALSE,334,50,NA
"ASTR3EPUOKEXV","Sun Sep 20 2020 10:59:16 GMT-0400 (Eastern Daylight Time)","Sun Sep 20 2020 12:23:20 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",6,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high",TRUE,FALSE,238,150,NA
"ASTR3EPUOKEXV","Sun Sep 20 2020 10:59:16 GMT-0400 (Eastern Daylight Time)","Sun Sep 20 2020 12:23:20 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",7,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",51,"right","medium",FALSE,FALSE,187,100,NA
"ASTR3EPUOKEXV","Sun Sep 20 2020 10:59:16 GMT-0400 (Eastern Daylight Time)","Sun Sep 20 2020 12:23:20 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",8,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high",TRUE,FALSE,139,200,NA
"ASTR3EPUOKEXV","Sun Sep 20 2020 10:59:16 GMT-0400 (Eastern Daylight Time)","Sun Sep 20 2020 12:23:20 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",9,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high",TRUE,FALSE,137,300,NA
"ASTR3EPUOKEXV","Sun Sep 20 2020 10:59:16 GMT-0400 (Eastern Daylight Time)","Sun Sep 20 2020 12:23:20 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",10,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","black",50,"middle","low",FALSE,FALSE,214,250,NA
"ASTR3EPUOKEXV","Sun Sep 20 2020 10:59:16 GMT-0400 (Eastern Daylight Time)","Sun Sep 20 2020 12:23:20 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",11,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high",TRUE,FALSE,115,350,NA
"ASTR3EPUOKEXV","Sun Sep 20 2020 10:59:16 GMT-0400 (Eastern Daylight Time)","Sun Sep 20 2020 12:23:20 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",12,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high",TRUE,FALSE,82,450,NA
"ASTR3EPUOKEXV","Sun Sep 20 2020 10:59:16 GMT-0400 (Eastern Daylight Time)","Sun Sep 20 2020 12:23:20 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",13,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high",TRUE,FALSE,6,550,NA
"ASTR3EPUOKEXV","Sun Sep 20 2020 10:59:16 GMT-0400 (Eastern Daylight Time)","Sun Sep 20 2020 12:23:20 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",14,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high",TRUE,FALSE,532,650,NA
"ASTR3EPUOKEXV","Sun Sep 20 2020 10:59:16 GMT-0400 (Eastern Daylight Time)","Sun Sep 20 2020 12:23:20 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",15,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high",TRUE,FALSE,227,750,NA
"ASTR3EPUOKEXV","Sun Sep 20 2020 10:59:16 GMT-0400 (Eastern Daylight Time)","Sun Sep 20 2020 12:23:20 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",16,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high",TRUE,FALSE,218,850,NA
"ASTR3EPUOKEXV","Sun Sep 20 2020 10:59:16 GMT-0400 (Eastern Daylight Time)","Sun Sep 20 2020 12:23:20 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",17,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",51,"right","medium",FALSE,FALSE,73,800,NA
"ASTR3EPUOKEXV","Sun Sep 20 2020 10:59:16 GMT-0400 (Eastern Daylight Time)","Sun Sep 20 2020 12:23:20 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",18,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high",TRUE,FALSE,93,900,NA
"ASTR3EPUOKEXV","Sun Sep 20 2020 10:59:16 GMT-0400 (Eastern Daylight Time)","Sun Sep 20 2020 12:23:20 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",19,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high",TRUE,FALSE,42,1000,NA
"ASTR3EPUOKEXV","Sun Sep 20 2020 10:59:16 GMT-0400 (Eastern Daylight Time)","Sun Sep 20 2020 12:23:20 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",20,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high",TRUE,TRUE,366,1100,NA
"ASTR3EPUOKEXV","Sun Sep 20 2020 10:59:16 GMT-0400 (Eastern Daylight Time)","Sun Sep 20 2020 12:23:20 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",21,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","red",49,"left","medium",TRUE,FALSE,203,1200,NA
"ASTR3EPUOKEXV","Sun Sep 20 2020 10:59:16 GMT-0400 (Eastern Daylight Time)","Sun Sep 20 2020 12:23:20 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",22,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","red",49,"left","medium",TRUE,FALSE,152,1300,NA
"ASTR3EPUOKEXV","Sun Sep 20 2020 10:59:16 GMT-0400 (Eastern Daylight Time)","Sun Sep 20 2020 12:23:20 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",23,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","red",49,"left","medium",TRUE,FALSE,261,1400,NA
"ASTR3EPUOKEXV","Sun Sep 20 2020 10:59:16 GMT-0400 (Eastern Daylight Time)","Sun Sep 20 2020 12:23:20 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",24,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","red",49,"left","medium",FALSE,FALSE,214,1350,NA
"ASTR3EPUOKEXV","Sun Sep 20 2020 10:59:16 GMT-0400 (Eastern Daylight Time)","Sun Sep 20 2020 12:23:20 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",25,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","black",50,"middle","high",TRUE,FALSE,280,1450,NA
"ASTR3EPUOKEXV","Sun Sep 20 2020 10:59:16 GMT-0400 (Eastern Daylight Time)","Sun Sep 20 2020 12:23:20 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",26,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","black",50,"middle","high",TRUE,FALSE,259,1550,NA
"ASTR3EPUOKEXV","Sun Sep 20 2020 10:59:16 GMT-0400 (Eastern Daylight Time)","Sun Sep 20 2020 12:23:20 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",27,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","black",50,"middle","high",TRUE,FALSE,112,1650,NA
"ASTR3EPUOKEXV","Sun Sep 20 2020 10:59:16 GMT-0400 (Eastern Daylight Time)","Sun Sep 20 2020 12:23:20 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",28,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","black",50,"middle","high",FALSE,FALSE,195,1600,NA
"ASTR3EPUOKEXV","Sun Sep 20 2020 10:59:16 GMT-0400 (Eastern Daylight Time)","Sun Sep 20 2020 12:23:20 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",29,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","red",49,"left","medium",FALSE,FALSE,241,1550,NA
"ASTR3EPUOKEXV","Sun Sep 20 2020 10:59:16 GMT-0400 (Eastern Daylight Time)","Sun Sep 20 2020 12:23:20 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",30,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'black', u'blue']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","black",50,"middle","high",FALSE,FALSE,261,1500,NA
