"src_subject_id","start_time","end_time","browser","index","first_half_probabilities","second_half_probabilities","deck_color","deck_position","deck_probabilities","deck_contingencies","response_color","key_press","response_position","response_probability","reward_type","trial_type","rt","reward_tally","exclusion_reason"
"AXG6YDR6J58B","Fri Oct 02 2020 10:36:58 GMT-0400 (Eastern Daylight Time)","Fri Oct 02 2020 10:51:47 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",1,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","red",50,"middle","medium","True","False",339,100,NA
"AXG6YDR6J58B","Fri Oct 02 2020 10:36:58 GMT-0400 (Eastern Daylight Time)","Fri Oct 02 2020 10:51:47 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",2,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","red",50,"middle","medium","True","False",546,200,NA
"AXG6YDR6J58B","Fri Oct 02 2020 10:36:58 GMT-0400 (Eastern Daylight Time)","Fri Oct 02 2020 10:51:47 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",3,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","red",50,"middle","medium","False","False",442,150,NA
"AXG6YDR6J58B","Fri Oct 02 2020 10:36:58 GMT-0400 (Eastern Daylight Time)","Fri Oct 02 2020 10:51:47 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",4,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","False","False",462,100,NA
"AXG6YDR6J58B","Fri Oct 02 2020 10:36:58 GMT-0400 (Eastern Daylight Time)","Fri Oct 02 2020 10:51:47 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",5,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",49,"left","low","False","False",288,50,NA
"AXG6YDR6J58B","Fri Oct 02 2020 10:36:58 GMT-0400 (Eastern Daylight Time)","Fri Oct 02 2020 10:51:47 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",6,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","red",50,"middle","medium","True","False",307,150,NA
"AXG6YDR6J58B","Fri Oct 02 2020 10:36:58 GMT-0400 (Eastern Daylight Time)","Fri Oct 02 2020 10:51:47 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",7,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","red",50,"middle","medium","False","False",322,100,NA
"AXG6YDR6J58B","Fri Oct 02 2020 10:36:58 GMT-0400 (Eastern Daylight Time)","Fri Oct 02 2020 10:51:47 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",8,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",602,200,NA
"AXG6YDR6J58B","Fri Oct 02 2020 10:36:58 GMT-0400 (Eastern Daylight Time)","Fri Oct 02 2020 10:51:47 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",9,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","red",50,"middle","medium","False","False",346,150,NA
"AXG6YDR6J58B","Fri Oct 02 2020 10:36:58 GMT-0400 (Eastern Daylight Time)","Fri Oct 02 2020 10:51:47 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",10,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",49,"left","low","False","False",405,100,NA
"AXG6YDR6J58B","Fri Oct 02 2020 10:36:58 GMT-0400 (Eastern Daylight Time)","Fri Oct 02 2020 10:51:47 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",11,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",671,200,NA
"AXG6YDR6J58B","Fri Oct 02 2020 10:36:58 GMT-0400 (Eastern Daylight Time)","Fri Oct 02 2020 10:51:47 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",12,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",883,300,NA
"AXG6YDR6J58B","Fri Oct 02 2020 10:36:58 GMT-0400 (Eastern Daylight Time)","Fri Oct 02 2020 10:51:47 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",13,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","red",50,"middle","medium","False","False",394,250,NA
"AXG6YDR6J58B","Fri Oct 02 2020 10:36:58 GMT-0400 (Eastern Daylight Time)","Fri Oct 02 2020 10:51:47 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",14,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",49,"left","low","False","False",323,200,NA
"AXG6YDR6J58B","Fri Oct 02 2020 10:36:58 GMT-0400 (Eastern Daylight Time)","Fri Oct 02 2020 10:51:47 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",15,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",350,300,NA
"AXG6YDR6J58B","Fri Oct 02 2020 10:36:58 GMT-0400 (Eastern Daylight Time)","Fri Oct 02 2020 10:51:47 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",16,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","red",50,"middle","medium","True","False",591,400,NA
"AXG6YDR6J58B","Fri Oct 02 2020 10:36:58 GMT-0400 (Eastern Daylight Time)","Fri Oct 02 2020 10:51:47 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",17,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",418,500,NA
"AXG6YDR6J58B","Fri Oct 02 2020 10:36:58 GMT-0400 (Eastern Daylight Time)","Fri Oct 02 2020 10:51:47 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",18,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","red",50,"middle","medium","False","False",466,450,NA
"AXG6YDR6J58B","Fri Oct 02 2020 10:36:58 GMT-0400 (Eastern Daylight Time)","Fri Oct 02 2020 10:51:47 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",19,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","red",50,"middle","medium","True","False",291,550,NA
"AXG6YDR6J58B","Fri Oct 02 2020 10:36:58 GMT-0400 (Eastern Daylight Time)","Fri Oct 02 2020 10:51:47 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",20,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",862,650,NA
"AXG6YDR6J58B","Fri Oct 02 2020 10:36:58 GMT-0400 (Eastern Daylight Time)","Fri Oct 02 2020 10:51:47 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",21,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","red",50,"middle","medium","False","False",392,600,NA
"AXG6YDR6J58B","Fri Oct 02 2020 10:36:58 GMT-0400 (Eastern Daylight Time)","Fri Oct 02 2020 10:51:47 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",22,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","red",50,"middle","medium","True","False",283,700,NA
"AXG6YDR6J58B","Fri Oct 02 2020 10:36:58 GMT-0400 (Eastern Daylight Time)","Fri Oct 02 2020 10:51:47 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",23,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",315,800,NA
"AXG6YDR6J58B","Fri Oct 02 2020 10:36:58 GMT-0400 (Eastern Daylight Time)","Fri Oct 02 2020 10:51:47 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",24,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",378,900,NA
"AXG6YDR6J58B","Fri Oct 02 2020 10:36:58 GMT-0400 (Eastern Daylight Time)","Fri Oct 02 2020 10:51:47 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",25,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","red",50,"middle","medium","True","False",306,1000,NA
"AXG6YDR6J58B","Fri Oct 02 2020 10:36:58 GMT-0400 (Eastern Daylight Time)","Fri Oct 02 2020 10:51:47 GMT-0400 (Eastern Daylight Time)","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",26,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","red",50,"middle","medium","True","False",302,1100,NA
